id,city,country,lat,lon,date,intensity,radius
e1,Chile,CHILE,-38.29,-73.05,1960-05-22,9.5,20
e2,1964 Great Alaska Earthquake,USA,61.02,-147.65,1964-03-28,9.2,10
e3,Assam,Tibet,28.5,96.5,1950-08-15,8.6,7
e4,Northern Sumatra, Indonesia,2.08,97.01,2005-03-28,8.6,7
e5,Southern Sumatra, Indonesia,-4.438,101.36,2007-09-12,8.5,7
e6,Off the Coast of Ecuador,Ecuador,1.0,-81.5,1906-01-31,8.8,7.3
e7,Near the East Coast of Honshu, Japan,38.322,142.369,2011-03-11,9.0,9
e8,Chile-Argentina Border,Chile,-28.55,-70.50,1922-11-11,8.5,7
e9,Andreanof Islands Alaska,USA,51.56,-175.39,1957-03-09,8.6,7.1
e10,2015 Nepal Earthquake,Nepal,28.24,84.74,2015-04-25,7.8,6.5
